,Shrinkage_MV,NLS_MV,Robust_RRP,Robust_Bayes_MV,BL_MV,EP_MV,EP_CVaR
DBC,1.5296317398137867e-06,1.4444511584371287e-06,0.04279019407486231,-1.065465745043463e-10,2.812224870037387e-08,5.023543136068316e-07,0.0
GLD,0.36786145031188233,0.36815777336706645,0.3847403836407812,0.4000000151240506,0.46279915063804167,0.36062856074955413,0.4000000000000149
SPY,0.4226203417145812,0.42323196712227407,0.4300952416120843,0.5999999850063064,0.28229749191152015,0.4254152841048567,0.5999999999999851
TLT,0.20951667834179663,0.20860881505950107,0.14237418067227187,-2.381038293130287e-11,0.25490332932818954,0.21395565279127568,0.0
